id,ticker,date,open,high,low,close,volume
1,BTC-USD,2024-01-01,42280.234375,44175.4375,42214.9765625,44167.33203125,18426978443
2,BTC-USD,2024-01-02,44187.140625,45899.70703125,44176.94921875,44957.96875,39335274536
3,BTC-USD,2024-01-03,44961.6015625,45503.2421875,40813.53515625,42848.17578125,46342323118
4,BTC-USD,2024-01-04,42855.81640625,44770.0234375,42675.17578125,44179.921875,30448091210
5,BTC-USD,2024-01-05,44192.98046875,44353.28515625,42784.71875,44162.69140625,32336029347
6,BTC-USD,2024-01-06,44178.953125,44227.6328125,43475.15625,43989.1953125,16092503468
7,BTC-USD,2024-01-07,43998.46484375,44495.5703125,43662.23046875,43943.09765625,19330573863
8,BTC-USD,2024-01-08,43948.70703125,47218.0,43244.08203125,46970.50390625,42746192015
9,BTC-USD,2024-01-09,46987.640625,47893.69921875,45244.71484375,46139.73046875,39821290992
10,BTC-USD,2024-01-10,46121.5390625,47647.22265625,44483.15234375,46627.77734375,50114613298
11,BTC-USD,2024-01-11,46656.07421875,48969.37109375,45678.64453125,46368.5859375,45833734549
12,BTC-USD,2024-01-12,46354.79296875,46498.13671875,41903.76953125,42853.16796875,43332698900
13,BTC-USD,2024-01-13,42799.4453125,43234.66015625,42464.14453125,42842.3828125,20601860469
14,BTC-USD,2024-01-14,42842.26171875,43065.59765625,41724.61328125,41796.26953125,17521429522
15,BTC-USD,2024-01-15,41715.06640625,43319.72265625,41705.41796875,42511.96875,22320220558
16,BTC-USD,2024-01-16,42499.3359375,43566.2734375,42085.99609375,43154.9453125,24062872740
17,BTC-USD,2024-01-17,43132.1015625,43189.890625,42189.30859375,42742.65234375,20851232595
18,BTC-USD,2024-01-18,42742.3125,42876.34765625,40631.171875,41262.05859375,25218357242
19,BTC-USD,2024-01-19,41278.4609375,42134.16015625,40297.45703125,41618.40625,25752407154
20,BTC-USD,2024-01-20,41624.58984375,41877.89453125,41446.82421875,41665.5859375,11586690904
21,BTC-USD,2024-01-21,41671.48828125,41855.3671875,41497.0078125,41545.78515625,9344043642
22,BTC-USD,2024-01-22,41553.65234375,41651.20703125,39450.1171875,39507.3671875,31338708143
23,BTC-USD,2024-01-23,39518.71484375,40127.3515625,38521.89453125,39845.55078125,29244553045
24,BTC-USD,2024-01-24,39877.59375,40483.78515625,39508.796875,40077.07421875,22359526178
25,BTC-USD,2024-01-25,40075.55078125,40254.48046875,39545.6640625,39933.80859375,18491782013
26,BTC-USD,2024-01-26,39936.81640625,42209.38671875,39825.69140625,41816.87109375,25598119893
27,BTC-USD,2024-01-27,41815.625,42195.6328125,41431.28125,42120.0546875,11422941934
28,BTC-USD,2024-01-28,42126.125,42797.17578125,41696.91015625,42035.59375,16858971687
29,BTC-USD,2024-01-29,42030.9140625,43305.8671875,41818.33203125,43288.24609375,20668476578
30,BTC-USD,2024-01-30,43300.2265625,43838.9453125,42711.37109375,42952.609375,23842814518
31,BTC-USD,2024-01-31,42946.25,43717.40625,42298.9453125,42582.60546875,24673628793
32,BTC-USD,2024-02-01,42569.76171875,43243.16796875,41879.19140625,43075.7734375,21423953779
33,BTC-USD,2024-02-02,43077.640625,43422.48828125,42584.3359375,43185.859375,18603843039
34,BTC-USD,2024-02-03,43184.96484375,43359.94140625,42890.80859375,42992.25,11169245236
35,BTC-USD,2024-02-04,42994.94140625,43097.64453125,42374.83203125,42583.58203125,14802225490
36,BTC-USD,2024-02-05,42577.62109375,43494.25,42264.81640625,42658.66796875,18715487317
37,BTC-USD,2024-02-06,42657.390625,43344.1484375,42529.01953125,43084.671875,16798476726
38,BTC-USD,2024-02-07,43090.01953125,44341.94921875,42775.95703125,44318.22265625,21126587775
39,BTC-USD,2024-02-08,44332.125,45575.83984375,44332.125,45301.56640625,26154524080
40,BTC-USD,2024-02-09,45297.3828125,48152.49609375,45260.82421875,47147.19921875,39316770844
41,BTC-USD,2024-02-10,47153.52734375,48146.171875,46905.3203125,47771.27734375,16398681570
42,BTC-USD,2024-02-11,47768.96875,48535.9375,47617.40625,48293.91796875,19315867136
43,BTC-USD,2024-02-12,48296.38671875,50280.4765625,47745.76171875,49958.22265625,34511985805
44,BTC-USD,2024-02-13,49941.359375,50358.390625,48406.49609375,49742.44140625,35593051468
45,BTC-USD,2024-02-14,49733.4453125,52021.37109375,49296.83203125,51826.6953125,39105608050
46,BTC-USD,2024-02-15,51836.78515625,52820.06640625,51371.62890625,51938.5546875,38564360533
47,BTC-USD,2024-02-16,51937.7265625,52537.96875,51641.3671875,52160.203125,28180567298
48,BTC-USD,2024-02-17,52161.67578125,52191.9140625,50669.66796875,51662.99609375,20009091006
49,BTC-USD,2024-02-18,51661.96875,52356.96484375,51233.70703125,52122.546875,17595377311
50,BTC-USD,2024-02-19,52134.8125,52483.32421875,51711.8203125,51779.14453125,21362184346
51,BTC-USD,2024-02-20,51777.7265625,52945.05078125,50792.3125,52284.875,33353758256
52,BTC-USD,2024-02-21,52273.53515625,52368.81640625,50671.7578125,51839.1796875,28624907020
53,BTC-USD,2024-02-22,51854.64453125,52009.61328125,50926.29296875,51304.97265625,25413900611
54,BTC-USD,2024-02-23,51283.90625,51497.93359375,50561.77734375,50731.94921875,21427078270
55,BTC-USD,2024-02-24,50736.37109375,51684.1953125,50585.4453125,51571.1015625,15174077879
56,BTC-USD,2024-02-25,51565.21484375,51950.02734375,51306.171875,51733.23828125,15413239245
57,BTC-USD,2024-02-26,51730.5390625,54938.17578125,50931.03125,54522.40234375,34074411896
58,BTC-USD,2024-02-27,54519.36328125,57537.83984375,54484.19921875,57085.37109375,49756832031
59,BTC-USD,2024-02-28,57071.09765625,63913.1328125,56738.42578125,62504.7890625,83239156760
60,BTC-USD,2024-02-29,62499.18359375,63585.64453125,60498.73046875,61198.3828125,65496611844
61,BTC-USD,2024-03-01,61168.0625,63155.1015625,60802.52734375,62440.6328125,40186368423
62,BTC-USD,2024-03-02,62431.65234375,62458.69921875,61657.2890625,62029.84765625,23888473685
63,BTC-USD,2024-03-03,62031.578125,63230.2109375,61435.0234375,63167.37109375,26253811450
64,BTC-USD,2024-03-04,63137.00390625,68537.03125,62386.51953125,68330.4140625,70670471105
65,BTC-USD,2024-03-05,68341.0546875,69170.625,59323.91015625,63801.19921875,102802940877
66,BTC-USD,2024-03-06,63776.05078125,67637.9296875,62848.671875,66106.8046875,68750229073
